City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Sechura,-5.5569,-80.8222,72.09,69,74,9.48,PE,2023-01-18 03:02:06
68,Wonthaggi,-38.6044,145.5913,61.83,84,100,15.73,AU,2023-01-18 03:02:06
69,Saldanha,-33.0117,17.9442,64.15,94,97,10.4,ZA,2023-01-18 03:02:07
70,Sinjai,-5.1241,120.253,87.08,63,71,5.84,ID,2023-01-18 03:02:07
71,Portland,45.5234,-122.6762,47.8,86,100,5.99,US,2023-01-18 02:57:30
72,Demyansk,57.643,32.466,34.84,94,100,12.68,RU,2023-01-18 03:02:08
73,Marzuq,14.4,46.4667,59.23,56,8,2.62,YE,2023-01-18 03:02:09
74,Aripuana,-9.1667,-60.6333,70.66,99,100,1.97,BR,2023-01-18 03:02:09
75,Bubaque,11.2833,-15.8333,78.06,58,100,6.51,GW,2023-01-18 03:02:10
76,Colesberg,-30.72,25.0972,73.51,36,79,3.65,ZA,2023-01-18 03:02:10
77,Teya,60.3778,92.6267,-44.36,100,51,2.66,RU,2023-01-18 03:02:11
78,Butaritari,3.0707,172.7902,81.37,79,50,17.98,KI,2023-01-18 03:02:12
79,Barrow,71.2906,-156.7887,-7.58,84,100,19.57,US,2023-01-18 03:02:12
80,Goderich,43.7501,-81.7165,38.91,98,100,17.65,CA,2023-01-18 03:00:09
81,Camacha,33.0833,-16.3333,56.62,67,40,19.57,PT,2023-01-18 03:02:13
82,Atuona,-9.8,-139.0333,78.94,77,17,18.25,PF,2023-01-18 03:02:14
83,Mount Gambier,-37.8333,140.7667,65.08,46,85,13.8,AU,2023-01-18 03:02:15
84,Klaksvik,62.2266,-6.589,34.72,64,100,31.14,FO,2023-01-18 03:02:15
85,Thompson,55.7435,-97.8558,-1.48,99,100,2.64,CA,2023-01-18 03:00:14
86,Broken Hill,-31.95,141.4333,87.22,39,52,20.54,AU,2023-01-18 03:02:16
87,Tecoanapa,16.5167,-98.75,76.75,83,22,5.86,MX,2023-01-18 03:02:16
88,Inhambupe,-11.7844,-38.3531,70.34,95,100,4.72,BR,2023-01-18 03:02:17
89,Yellowknife,62.456,-114.3525,10.92,92,100,6.91,CA,2023-01-18 02:58:15
90,Victoria,22.2855,114.1577,60.24,67,100,11.99,HK,2023-01-18 03:00:03
91,Maunabo,18.0072,-65.8993,74.7,86,4,9.95,PR,2023-01-18 03:02:18
92,Miri,4.4148,114.0089,84.56,64,62,2.84,MY,2023-01-18 03:02:19
93,Saint-Philippe,-21.3585,55.7679,78.39,85,100,14.56,RE,2023-01-18 03:03:20
94,Jamestown,42.097,-79.2353,40.01,72,100,14.97,US,2023-01-18 02:58:27
95,Nioro,13.35,-15.75,77.58,14,100,8.43,GM,2023-01-18 03:03:21
96,Acarau,-2.8856,-40.12,78.37,80,78,12.53,BR,2023-01-18 03:03:21
97,Chapais,49.7834,-74.8492,14.09,96,100,2.68,CA,2023-01-18 03:03:23
98,Kavieng,-2.5744,150.7967,81.05,73,100,5.3,PG,2023-01-18 03:03:24
99,Kargasok,59.0556,80.8572,1.83,97,100,8.46,RU,2023-01-18 03:03:25
100,Castro,-24.7911,-50.0119,64.6,99,100,3.02,BR,2023-01-18 03:01:48
101,Bredasdorp,-34.5322,20.0403,70.81,90,100,2.3,ZA,2023-01-18 03:03:26
